x,y,elevation
594548,4790785,207.1
594538,4790085,210.3
594658,4790365,216.5
594308,4790395,228.1
594468,4790565,210.4
594318,4790305,223.2
594108,4789885,211.2
593898,4790185,217
594408,4790615,214.6
594028,4790475,229.9
594118,4790585,218.8
593868,4790645,218.4
593878,4790035,214
594718,4790375,212.2
594328,4790215,219.3
594508,4790245,209.7
594618,4790665,204
593908,4790035,212.9
593928,4790635,214.4
594608,4790175,209
594548,4790395,212.3
594408,4790295,219.8
594498,4790395,213.1
593968,4790735,212.6
594818,4789965,214.9
594098,4790765,211
594408,4790225,220.6
594758,4790785,209
594298,4790675,218.8
594028,4790695,213.5
594638,4790355,216.2
594758,4790515,202.1
594228,4790475,231.3
594388,4790245,218.6
594788,4790015,216
594678,4789925,206.7
593868,4790185,216.8
594018,4790045,214.2
594458,4790275,214.7
594638,4790005,209.9
594358,4790665,216.2
594058,4790575,221.5
594348,4790555,223.2
594708,4789885,210.1
593908,4790105,216
594688,4790615,209.9
594728,4790535,206.1
594148,4789955,217.3
594598,4790305,209.5
594418,4790595,216.5
